Ticker,Description,Currency,Sector,Industry Group,Industry,Sub_Industry
MO US Equity,Altria Group Inc,USD,Consumer Staples,Consumer Products,Tobacco,Tobacco Products
2330 TT Equity,Taiwan Semiconductor Manufactu,TWD,Technology,Semiconductors,Semiconductor Mfg,Foundry Services
ITX SM Equity,Industria de Diseno Textil SA,EUR,Consumer Discretionary,Retail - Discretionary,Specialty Apparel Stores,#N/A N/A
BATS LN Equity,British American Tobacco PLC,GBp,Consumer Staples,Consumer Products,Tobacco,Tobacco Products
BMY US Equity,Bristol-Myers Squibb Co,USD,Health Care,Biotech & Pharma,Large Pharma,#N/A N/A
WBA US Equity,Walgreens Boots Alliance Inc,USD,Consumer Staples,Retail - Consumer Staples,Food & Drug Stores,Pharmacies & Drug Stores
MDT US Equity,Medtronic PLC,USD,Health Care,Medical Equipment & Devices,Medical Devices,Cardiovascular Devices
ABBV US Equity,AbbVie Inc,USD,Health Care,Biotech & Pharma,Large Pharma,#N/A N/A
GSK LN Equity,GlaxoSmithKline PLC,GBp,Health Care,Biotech & Pharma,Large Pharma,#N/A N/A
CELG US Equity,Celgene Corp,USD,Health Care,Biotech & Pharma,Biotech,Mature Biotechnology
NKE US Equity,NIKE Inc,USD,Consumer Discretionary,Apparel & Textile Products,"Apparel, Footwear & Acc Design",Footwear Design
BP/ LN Equity,BP PLC,GBp,Energy,"Oil, Gas & Coal",Integrated Oils,#N/A N/A
SLB US Equity,Schlumberger Ltd,USD,Energy,"Oil, Gas & Coal",Oil & Gas Services & Equip,Oilfield Services & Equipment
BA US Equity,Boeing Co/The,USD,Industrials,Aerospace & Defense,Aircraft & Parts,Aircraft
OR FP Equity,L'Oreal SA,EUR,Consumer Staples,Consumer Products,Household Products,Personal Care Products
MCD US Equity,McDonald's Corp,USD,Consumer Discretionary,"Gaming, Lodging & Restaurants",Restaurants,Limited Service Restaurants
VOD LN Equity,Vodafone Group PLC,GBp,Communications,Telecom,Telecom Carriers,Wireless Telecom Services
LLY US Equity,Eli Lilly & Co,USD,Health Care,Biotech & Pharma,Large Pharma,#N/A N/A
CBA AU Equity,Commonwealth Bank of Australia,AUD,Financials,Banking,Banks,Retail Banking
KHC US Equity,Kraft Heinz Co/The,USD,Consumer Staples,Consumer Products,Packaged Food,#N/A N/A
DAI GR Equity,Daimler AG,EUR,Consumer Discretionary,Automotive,Automobiles,Passenger Vehicles
386 HK Equity,China Petroleum & Chemical Cor,HKD,Energy,"Oil, Gas & Coal",Integrated Oils,#N/A N/A
VOW GR Equity,Volkswagen AG,EUR,Consumer Discretionary,Automotive,Automobiles,Passenger Vehicles
BLT LN Equity,BHP Billiton PLC,GBp,Materials,Iron & Steel,Steel Raw Material Suppliers,Iron Ore Mining
8306 JP Equity,Mitsubishi UFJ Financial Group,JPY,Financials,Banking,Diversified Banks,#N/A N/A
BHP AU Equity,BHP Billiton Ltd,AUD,Materials,Iron & Steel,Steel Raw Material Suppliers,Iron Ore Mining
2318 HK Equity,Ping An Insurance Group Co of,HKD,Financials,Insurance,Life Insurance,Life Insurance Premiums
MMM US Equity,3M Co,USD,Materials,Containers & Packaging,Containers & Packaging,#N/A N/A
UPS US Equity,United Parcel Service Inc,USD,Industrials,Transportation & Logistics,Courier Services,Ground Courier Services
QCOM US Equity,QUALCOMM Inc,USD,Technology,Semiconductors,Semiconductor Devices,"Logic, Processors & App Specific"
MC FP Equity,LVMH Moet Hennessy Louis Vuitt,EUR,Consumer Discretionary,Apparel & Textile Products,"Apparel, Footwear & Acc Design",Bags & Leather Goods Design
SIE GR Equity,Siemens AG,EUR,Industrials,Electrical Equipment,Electrical Power Equipment,#N/A N/A
AZN LN Equity,AstraZeneca PLC,GBp,Health Care,Biotech & Pharma,Large Pharma,#N/A N/A
SBUX US Equity,Starbucks Corp,USD,Consumer Discretionary,"Gaming, Lodging & Restaurants",Restaurants,Limited Service Restaurants
GS US Equity,Goldman Sachs Group Inc/The,USD,Financials,Institutional Financial Svcs,Institutional Brokerage,Trading & Principal Investment
MVZ/A VC Equity,Mercantil Servicios Financiero,VEF,Financials,Banking,Banks,#N/A N/A
LLOY LN Equity,Lloyds Banking Group PLC,GBp,Financials,Banking,Banks,Retail Banking
UTX US Equity,United Technologies Corp,USD,Industrials,Aerospace & Defense,Aircraft & Parts,#N/A N/A
DTE GR Equity,Deutsche Telekom AG,EUR,Communications,Telecom,Telecom Carriers,Wireless Telecom Services
SAN SM Equity,Banco Santander SA,EUR,Financials,Banking,Diversified Banks,#N/A N/A
SAP GR Equity,SAP SE,EUR,Technology,Software,Application Software,Enterprise Software
9432 JP Equity,Nippon Telegraph & Telephone C,JPY,Communications,Telecom,Telecom Carriers,Wireline Telecom Services
RY CN Equity,Royal Bank of Canada,CAD,Financials,Banking,Diversified Banks,#N/A N/A
UBSG VX Equity,UBS Group AG,CHF,Financials,Asset Management,Wealth Management,#N/A N/A
HON US Equity,Honeywell International Inc,USD,Industrials,Electrical Equipment,Comml & Res Bldg Equip & Sys,#N/A N/A
BNP FP Equity,BNP Paribas SA,EUR,Financials,Banking,Diversified Banks,#N/A N/A
ABEV3 BZ Equity,Ambev SA,BRL,Consumer Staples,Consumer Products,Beverages,Alcoholic Beverages
